Any / Año;Codi_província / Código_provincia;Província / Provincia;Codi_municipi / Código_municipio;Municipi / Municipio;Registre / Registro;Centre / Centro;Codi_tipus_centre / Código_tipo_centro;Tipus_centre / Tipo_centro;Codi_dependència_funcional / Código_dependéncia_funcional;Dependència_funcional / Dependencia_funcional;Codi_règim / Código_régimen;Règim /Régimen;Adreça / Dirección
2021;3 ;ALICANTE;990;ORIHUELA;3639;OPTICA AGRASOT;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE PINTOR AGRASOT 44 0
2021;3 ;ALICANTE;900;ALCOY/ALCOI;3640;CLÍNICA DENTAL JAVIER CARBONELL;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE GONZALO BARRACHINA 1
2021;46;VALENCIA;213;REQUENA;3641;CENTRO ASISTENCIAL DE MUTUAL MIDAT CYCLOPS (MATEPSS Nº 1) REQUENA;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE CAPITAN GADEA  23
2021;3 ;ALICANTE;630;DENIA;3643;CLÍNICA DENTAL DR. JUAN CARLOS ESTEVE;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;CALLE DIANA 32 1º
2021;46;VALENCIA;250;VALÈNCIA;3645;SERVICIO DE ONCOLOGÍA RADIOTERÁPICA DE ERESA EN EL CONSORCIO H.G.U.V.;C.2.5.90;OTROS CENTROS ESPECIALIZADOS;20;PRIVADOS;PRI;PRIVADO;AVDA TRES CRUCES  S/N
2021;46;VALENCIA;107;CHELLA;3646;MEDICINA Y SALUD LA CANAL DE ENGUERA S.L.;C.2.4;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;AVDA CONSTITUCION  S/N
2021;3 ;ALICANTE;630;DENIA;3647;CLÍNICA DENTAL DENIA - LAS MARINAS;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CTRA MARINES A DENIA (LES)  173 A/BW BIENV
2021;46;VALENCIA;250;VALÈNCIA;3656;CLÍNICA DENTAL CAMPANAR;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;PLAZA DIPUTAT LLUIS LUCIA  16 BAJO
2021;46;VALENCIA;210;ALDAIA;3657;CLÍNICA DENTAL DR. VÁZQUEZ;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;AVDA DOS DE MAYO 6 BAJO IZDA.
2021;46;VALENCIA;249;UTIEL;3658;CENTRO DE RECUPERACIÓN FUNCIONAL;C.2.2;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;20;PRIVADOS;PRI;PRIVADO;CALLE SAN FERNANDO 29 1º
2021;46;VALENCIA;250;VALÈNCIA;3661;CLÍNICA DENTAL ZARAGOZÁ-GONZÁLEZ;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;GV RAMON Y CAJAL 26 6ª
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;3662;CENTRO DE DISCAPACITADOS CAMP SANTA FAZ;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;3;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS DE DEPENDENCIA ESTATAL;PUB;PÚBLICO;AVDA MARE NOSTRUM 9
2021;3 ;ALICANTE;650;ELCHE/ELX;3664;CLÍNICA DENTAL DR. AMBROSIO BERMEJO FENOLL;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE ALFONSO XII  16 1º 8º
2021;46;VALENCIA;780;BURJASSOT;3665;CLÍNICA DENTAL ENRIQUE ROYO KRINGE;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE CARRETERA DE LLIRIA  22 BAJO
2021;46;VALENCIA;250;VALÈNCIA;3668;CLÍNICA DENTAL GRAU GARCÍA MORENO;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;AVDA CAMPANAR  16 1º-2ª
2021;46;VALENCIA;250;VALÈNCIA;3670;CLÍNICA MELGAR ANGUIX;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;CALLE MESTRE SOSA 25 BAJO IZDA.
2021;46;VALENCIA;500;ALAQUAS;3677;CLÍNICA DENTAL DRA. CAROLINA LÓPEZ;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;PSAJE AMADEO AGUILAR LABORDA 7 5
2021;46;VALENCIA;249;UTIEL;4875;CONSULTORIO AUXILIAR DE LAS CASAS - UTIEL;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE CUENCA (CASAS)  20
2021;46;VALENCIA;800;CAMPORROBLES;4876;CONSULTORIO AUXILIAR DE CAMPORROBLES;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;AVDA PURISIMA (LA)  10
2021;46;VALENCIA;254;VENTA DEL MORO;4877;CONSULTORIO AUXILIAR DE CASAS DE PRADAS;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE PROYECTO 1 -(CASAS DEL REY) 1
2021;46;VALENCIA;254;VENTA DEL MORO;4878;CONSULTORIO AUXILIAR DE CASAS DEL REY;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE GERVASIO HAYA-(CASAS DEL REY) 8
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;4879;CLÍNICA DENTAL GIMENO SLP;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE ENMEDIO 97 ENTLO
2021;46;VALENCIA;249;UTIEL;4881;CONSULTORIO AUXILIAR LA TORRE - UTIEL;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE NOVELISTA BLASCO IBAÑEZ (TORRE) 4
2021;12;CASTELLÓN;135;VILA-REAL;4884;CONSULTA DE DERMATOLOGÍA Mª CONCEPCIÓN CAPELLA;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE BENICARLO 12 BAJO
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;4885;INSTITUTO AISTHE, S.L.;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;CALLE PINTOR LORENZO CASANOVA  11 1ª
2021;46;VALENCIA;250;VALÈNCIA;4886;CLÍNICA DE NEUROPEDIATRÍA;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE JESUS 101 7
2021;46;VALENCIA;250;VALÈNCIA;4887;CLÍNICA DR. CAMPOS;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE CISCAR 29 2º
2021;46;VALENCIA;249;UTIEL;4888;CLÍNICA DE FISIOTERAPIA Mª MERCEDES IRANZO MÁS;C.2.2;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;20;PRIVADOS;PRI;PRIVADO;CALLE MASA CORAL UTIELANA 7
2021;46;VALENCIA;250;VALÈNCIA;4889;PILAR MARTÍ, S.L.;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;AVDA ARAGO 40 2 A
2021;46;VALENCIA;500;ALAQUAS;4890;CENTRO ASISTENCIAL FREMAP ALAQUÀS (MCSS Nº 61);C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE TRAGINERS - POLÍGONO INDUSTRIAL ELS MOLLONS 2
2021;46;VALENCIA;165;MASSANASSA;4891;INST. SANIT. DE PREVENCIÓN DE RIESGOS LABORALES OTP-OFICINA TÉCNICA DE PREVENCIÓN, S.L.;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;20;PRIVADOS;PRI;PRIVADO;CALLE FONT CABILDA  6
2021;46;VALENCIA;159;MANISES;4893;MERCEDES BENZ, MATRÍCULA 1620 BMP;C.2.5.7;CENTROS MÓVILES DE ASISTENCIA SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CALLE RIU SERPIS (DEL)  S/N
2021;12;CASTELLÓN;840;ONDA;4894;EQUIPO SANITARIO MÓVIL MERCEDES 313D MATRÍCULA CS- 6732-AW. UNIMAT PREVENCIÓN ONDA;C.2.5.7;CENTROS MÓVILES DE ASISTENCIA SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CTRA VILA-REAL- ONDA KM 6 S/N
2021;3 ;ALICANTE;830;JIJONA/XIXONA;4895;CENTRO SANITARIO DE PREVENCIÓN DE RIESGOS LALORALES DE PROCTER & GAMBLE MATARÓ, S.L.U.;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;20;PRIVADOS;PRI;PRIVADO;PTDA ESPARTAL S/N
2021;46;VALENCIA;131;GANDIA;4897;CENTRO ASISTENCIAL UMIVALE (MATEPSS Nº 15) DE GANDIA;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;AVDA GRAU (DEL)  13 15
2021;46;VALENCIA;780;BURJASSOT;4898;INST. SANIT. SERV. PREV. UNIVERSITAT DE VALENCIA CAMPUS DE BURJASSOT;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;20;PRIVADOS;PRI;PRIVADO;CALLE DOCTOR MOLINER 50
2021;12;CASTELLÓN;840;ONDA;4900;EQUIPO SANITARIO MÓVIL VOLKSWAGEN LT35 MATRÍCULA V-0645-HG. UNIMAT PREVENCIÓN ONDA;C.2.5.7;CENTROS MÓVILES DE ASISTENCIA SANITARIA;21;MUTUAS DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES;PRI;PRIVADO;CTRA VILA-REAL- ONDA KM 6 S/N
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;4902;CLÍNICA DENTAL M.D. COMPANY DE RENZI;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE COLON  34 1º DCHA.
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;4903;INSTITUTO GINECOLÓGICO GYNENOVA;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;PLAZA TETUAN  30 PB
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;4904;CLÍNICA DENTAL VIRGEN DEL REMEDIO;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE ECONOMISTA G. BERNACER  5 BAJO B
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;4907;CLÍNICA DENTAL MARÍA RIERA GARCÍA;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE PABLO IGLESIAS  12 ENTLO DCHA
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;4908;CONSULTORIO AUXILIAR DE BENADRESA (CASTELLÓN);C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE CUADRA BREVA S/N
2021;12;CASTELLÓN;138;VINAROS;4909;CLÍNICA SOTO S.C. PROFESIONAL;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;AVDA PAÍS VALENCIÀ 17 2ºB
2021;3 ;ALICANTE;820;JAVEA/XABIA;4910;POLICLÍNICA CUME;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE ANTONIO BAÑULS 2 1º L
2021;3 ;ALICANTE;140;ALICANTE/ALACANT;4911;CLÍNICA DENTAL JOSÉ LUIS ROCAMORA VALERO;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;AVDA NOVELDA 109 - 111, ENT
2021;3 ;ALICANTE;650;ELCHE/ELX;4912;CLÍNICA DENTAL DR. ALFONSO MIGUEL;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE JUAN RAMON JIMENEZ 4 3º - 2ª
2021;3 ;ALICANTE;590;CREVILLENT;4913;CLÍNICA DENTAL DRA. INMACULADA SÁNCHEZ GONZÁLEZ;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;AVDA MADRID 16 1º D
2021;3 ;ALICANTE;650;ELCHE/ELX;4914;INSTITUTO DENTAL ELCHE, S.L.P.;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;AVDA COMUNITAT VALENCIANA  43 BAJO
2021;12;CASTELLÓN;126;VALL D'UIXO (LA);4917;CONSULTA DE GINECOLOGÍA PATRICIA BURGUETE FENOLLOSA;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE BENIGAFULL  43 BAJO
2021;12;CASTELLÓN;126;VALL D'UIXO (LA);4918;CLÍNICA DENTAL LEONOR TORRES IGUAL;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE DOCTOR SEVERO OCHOA 10 BAJO
2021;3 ;ALICANTE;650;ELCHE/ELX;4919;CLÍNICA DENTAL MIGUEL CABO VALLE;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE ALMORIDA  2 1º 1ª
2021;3 ;ALICANTE;650;ELCHE/ELX;4921;HIGIENIC DENTAL (POLICLÍNICAS DENTALES ORTOELX);C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE JOSEP MARIA BUCH 27
2021;46;VALENCIA;181;OLIVA;1402;ANGELS VISIÓN;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CTRA CONVENT DEL  36
2021;46;VALENCIA;249;UTIEL;1404;LIDER ÓPTICA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE SAN FERNANDO  21
2021;46;VALENCIA;171;MONCADA;1405;CENTRO DE MEDICINA;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE REINO DE VALENCIA  7 BAJO
2021;46;VALENCIA;181;OLIVA;1407;ÓPTICA BORJA OLIVA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE ALEJANDRO CARDONA 5 BAJO
2021;46;VALENCIA;540;BENETUSSER;1408;ÓPTICA MOLINS BENETÚSSER;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE CONSTITUCIO 1 BAJO
2021;46;VALENCIA;220;ALFAFAR;1409;ÓPTICA MOLINS;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE VALENCIA 1
2021;46;VALENCIA;250;VALÈNCIA;1410;ÓPTICA MANAFE;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;PLAZA MARE DE DEU 31
2021;46;VALENCIA;250;VALÈNCIA;1411;CENTRO ÓPTICO GRAN VÍA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;GV FERRAN EL CATOLIC 5
2021;46;VALENCIA;830;CARCAIXENT;1412;CENTRE ÓPTIC CARCAIXENT;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE JULIÁN RIBERA 32
2021;46;VALENCIA;250;VALÈNCIA;1413;OPTICA JESÚS;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;PLAZA JESUS 5 BAJO
2021;46;VALENCIA;250;VALÈNCIA;1415;CENTRO ÓPTICO MEDINA-TENA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CMNO MONTCADA 60
2021;46;VALENCIA;700;BETERA;1417;CENTRO DE SALUD DE BÉTERA;C.2.3.1;CENTROS DE SALUD;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE ALBEREDA ESCULTOR RAMON INGLES  52
2021;46;VALENCIA;250;VALÈNCIA;1419;CONSULTA DE PEDIATRIA Y MEDICINA INTERNA DRES. RIBELLES;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE RUZAFA  8 6º
2021;46;VALENCIA;131;GANDIA;1421;CLÍNICA DENTAL DR. PÉREZ RICO;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;CALLE TORRETA (DE LA) 2 1ª
2021;46;VALENCIA;181;OLIVA;1422;CLÍNICA DE NUTRICIÓN - OBESIDAD C.B.;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;CALLE ALCALDE JUAN SANCHO  1 ENTLO B
2021;46;VALENCIA;127;FONT D'EN CARROS (LA);1424;CONSULTORIO AUXILIAR DE LA FONT D'EN CARRÓS;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE SAN ISIDRO  8
2021;46;VALENCIA;250;VALÈNCIA;1425;CLÍNICA 2000 SERMEDOM S.L.;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;AVDA OEST 17 12ª
2021;46;VALENCIA;250;VALÈNCIA;1426;DOCTORES JUAN PERIS;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE XATIVA 4 8ª
2021;46;VALENCIA;184;ONTINYENT;1427;ESTIL VISIÓ ÓPTICA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE DE SALVADOR TORMO  32
2021;46;VALENCIA;250;VALÈNCIA;1428;MULTIÓPTICAS SANZ;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE SAN VICENTE MARTIR  71-73
2021;46;VALENCIA;250;VALÈNCIA;1429;OPTICA XUQUER;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;AVDA BLASCO IBAÑEZ 57
2021;12;CASTELLÓN;820;NULES;1430;ÓPTICA TENA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE JOSÉ BARTRINA 48
2021;46;VALENCIA;250;VALÈNCIA;1433;CLÍNICA OFTALMOLÓGICA CASTRO;C.2.5.4;CENTROS DE CIRUGIA MAYOR AMBULATORIA;20;PRIVADOS;PRI;PRIVADO;CALLE HERNAN CORTES  26 BAJO
2021;3 ;ALICANTE;122;SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG;1434;ÓPTICA LEÓN;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE PINTOR PICASSO 14
2021;46;VALENCIA;250;VALÈNCIA;1435;KINESIS;C.2.2;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;20;PRIVADOS;PRI;PRIVADO;CALLE JESUS 81 BAJO
2021;12;CASTELLÓN;400;CASTELLÓ DE LA PLANA;1436;CONSULTA DE UROLOGÍA ERNESTO GONZÁLEZ;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE MOYANO  3 ENTLO 5
2021;46;VALENCIA;145;XATIVA;1438;ÓPTICA PILAR ARANDA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE TROBAT 24
2021;3 ;ALICANTE;110;ALFAS DEL PI (L');1439;C.R.C. CEMCA, S.C;C.2.5.10;CENTROS DE RECONOCIMIENTO;20;PRIVADOS;PRI;PRIVADO;PLAZA SALVADOR DALI  4 BQ 3 - 1ºB
2021;46;VALENCIA;290;ALGEMESI;1440;MAS VISIÓN ALGEMESÍ;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE VALENCIA  20
2021;46;VALENCIA;250;VALÈNCIA;1443;OCCHIO OPTICOS;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE SORNI 24
2021;46;VALENCIA;210;ALDAIA;1445;RESIDENCIA DE LA TERCERA EDAD DE ALDAIA;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE ALAQUAS  3
2021;46;VALENCIA;239;TERESA DE COFRENTES;1446;CONSULTORIO AUXILIAR DE TERESA DE COFRENTES;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;PLAZA HISPANIDAD  S/N
2021;46;VALENCIA;290;ALGEMESI;1449;LABORATORIO DOMINGO C.B.;C.2.5.6;CENTROS DE DIAGNÓSTICO;20;PRIVADOS;PRI;PRIVADO;PQUE SALVADOR CASTELL  2 A
2021;46;VALENCIA;250;VALÈNCIA;1450;ÓPTICA SAN MARCELINO;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE SAN MARCELINO  4
2021;46;VALENCIA;250;VALÈNCIA;1452;CLÍNICA DR MONCLUS;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;AVDA ARAGON  40 1
2021;46;VALENCIA;250;VALÈNCIA;1453;ÓPTICA MARÍA ESTEBAN PALOMAR;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE RODRIGUEZ DE CEPEDA  53
2021;46;VALENCIA;250;VALÈNCIA;1454;ÓPTICA COMEDIAS;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE PAU 21
2021;46;VALENCIA;250;VALÈNCIA;1455;OPTOLENT;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE ALEMANIA  8
2021;46;VALENCIA;250;VALÈNCIA;1456;ÓPTICA LAS TORRES;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE BORRULL  5
2021;46;VALENCIA;540;BENETUSSER;1457;ÓPTICA ORBA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE ORBA 16
2021;46;VALENCIA;109;CHESTE;1460;ÓPTICA LOZANO;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE CHIVA 39
2021;46;VALENCIA;147;LLIRIA;1461;SALUMED;C.2.4.0;CENTROS POLIVALENTES;20;PRIVADOS;PRI;PRIVADO;CALLE SANT VICENT (DE)  38 1
2021;46;VALENCIA;250;VALÈNCIA;1462;PEPE BOSCÁ ÓPTICOS;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;GV MARQUES DEL TURIA  53
2021;46;VALENCIA;250;VALÈNCIA;1463;OPTICA BILBAO;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE BILBAO 0027 00000
2021;46;VALENCIA;850;CARLET;1464;CENTRO OPTICO MIRAGALL;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE ROLLET 014
2021;46;VALENCIA;220;SAGUNTO/SAGUNT;1466;DOMUSVI MONTEARSE;C.3;SERVICIOS SANITARIOS INTEGRADOS EN UNA ORGANIZACIÓN NO SANITARIA;20;PRIVADOS;PRI;PRIVADO;CTRA SAGUNTO-PUERTO  S/N
2021;12;CASTELLÓN;138;VINAROS;1467;TENA ZARAGOZA CLINIC DENTAL, S.L.P.;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE SAN FRANCISCO  29 BAJO
2021;46;VALENCIA;250;VALÈNCIA;1468;CLÍNICA RADIOLÓGICA VALENCIANA, S.L.;C.2.5.6;CENTROS DE DIAGNÓSTICO;20;PRIVADOS;PRI;PRIVADO;CALLE ISABEL LA CATÓLICA 0001 00000
2021;3 ;ALICANTE;650;ELCHE/ELX;2536;OPTICA DAMA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE AMPLE 012
2021;3 ;ALICANTE;650;ELCHE/ELX;2537;GENERAL ÓPTICA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE CORREDORA  25
2021;46;VALENCIA;156;LLOMBAI;2538;CLÍNICA DENTAL MARÍA PILAR ADAM RIBES;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE FAVORITA 5 BAJO
2021;46;VALENCIA;250;VALÈNCIA;2539;CLÍNICA MEDYFIS;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE QUART 66 1
2021;46;VALENCIA;222;SANT JOANET;2540;CONSULTORIO DE ATENCIÓN PRIMARIA DE SANT JOAN DE L'ÈNOVA;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;PLAZA PROGRESO S/N
2021;46;VALENCIA;190;PATERNA;2542;CLÍNICA DENTAL RODRIGUEZ CEBRIÁ, C.B.;C.2.5.1;CLÍNICAS DENTALES;20;PRIVADOS;PRI;PRIVADO;CALLE MAJOR 17 2
2021;3 ;ALICANTE;660;ELDA;2543;VERDÚ OPTICOS ELDA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE ORTEGA Y GASSET 16
2021;3 ;ALICANTE;660;ELDA;2545;OPTICA SANTA ANA;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE ORTEGA Y GASSET 005
2021;46;VALENCIA;164;MASSAMAGRELL;2546;CONSULTA DE OTORRINOLARINGOLOGÍA;C.2.1;CONSULTAS MÉDICAS;20;PRIVADOS;PRI;PRIVADO;CALLE OBISPO AMIGO  5 2 - 12
2021;3 ;ALICANTE;660;ELDA;2547;ÓPTICA MAESTRE;E.3;ÓPTICAS;20;PRIVADOS;PRI;PRIVADO;CALLE DAHELLOS 5
2021;46;VALENCIA;241;TITAGUAS;2549;CENTRO DE SALUD DE TITAGUAS;C.2.3.1;CENTROS DE SALUD;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;AVDA SIMON DE ROJAS CLEMENTE Y RUBIO  2
2021;46;VALENCIA;141;HIGUERUELAS;2550;CONSULTORIO AUXILIAR DE HIGUERUELAS;C.2.3.2;CONSULTORIOS DE ATENCIÓN PRIMARIA;2;SERVICIOS O INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;PUB;PÚBLICO;CALLE DIPUTACION  18
